StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q1,Q2_1,Q2_2,Q2_3,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6,Q7
2026-05-20 16:31:17,2026-05-20 16:33:14,IP Address,86.19.195.150,100,117,True,2026-05-20 16:33:15,R_2OuFFek5kZ1eq2O,,,,,53.5621,-0.0808,anonymous,EN,Yes,312,Strongly agree,Neither agree nor disagree,Strongly agree,"Password strength,Building and using a passphrase,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Build a passphrase,Phishing or legit",
2026-05-20 16:29:34,2026-05-20 16:34:42,IP Address,172.225.253.135,100,308,True,2026-05-20 16:34:43,R_8rqItWUyAAQUqqk,,,,,52.3716,4.8883,anonymous,EN,Yes,100,Somewhat agree,Neither agree nor disagree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Spot the weakest password,Build a password,Escape the cookie trap,Phishing or legit",
2026-05-20 16:09:57,2026-05-20 16:35:14,IP Address,155.117.189.24,100,1517,True,2026-05-20 16:35:15,R_6IaVio4JHfz3e9I,,,,,40.7908,-74.056,anonymous,EN,Yes,320,Somewhat agree,Somewhat disagree,Strongly agree,"Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap,Phishing or legit",
2026-05-20 16:32:44,2026-05-20 16:36:17,IP Address,87.195.26.145,100,212,True,2026-05-20 16:36:17,R_2Kg3ejkm7pxyW8L,,,,,52.4763,6.0169,anonymous,EN,Yes,205,Somewhat agree,Somewhat agree,Strongly agree,"Password strength,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Spot the weakest password,Escape the cookie trap,GDPR multiple choice",
2026-05-20 16:42:59,2026-05-20 16:46:23,IP Address,82.168.193.139,100,203,True,2026-05-20 16:46:24,R_2KRNsqaMhwgdCpj,,,,,51.8405,5.8412,anonymous,EN,Yes,305,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,"Spot the weakest password,Escape the cookie trap,Phishing or legit",
2026-05-20 17:00:07,2026-05-20 17:05:04,IP Address,92.69.35.78,100,297,True,2026-05-20 17:05:05,R_2sPlTrbI6MX6zkJ,,,,,52.3824,4.8995,anonymous,EN,Yes,203,Strongly agree,Neither agree nor disagree,Strongly agree,"Password strength,Building and using a passphrase,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,"Phishing or legit,GDPR multiple choice",
2026-05-20 17:12:53,2026-05-20 17:19:02,IP Address,82.168.108.192,100,369,True,2026-05-20 17:19:03,R_8alxB5Rb1ero7x0,,,,,51.8486,5.8508,anonymous,EN,Yes,306,Somewhat disagree,Somewhat agree,Strongly agree,"Password strength,Rejecting tracking cookies",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Spot the weakest password,Build a passphrase,Escape the cookie trap,Phishing or legit",
2026-05-20 18:27:32,2026-05-20 18:30:21,IP Address,178.230.49.166,100,169,True,2026-05-20 18:30:21,R_89LvjWGWG1xP077,,,,,52.3824,4.8995,anonymous,EN,Yes,105,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Spotting phishing emails,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,None of these,
2026-05-20 18:46:54,2026-05-20 18:50:22,IP Address,178.84.239.15,100,207,True,2026-05-20 18:50:22,R_2Oy6GTkzwFlYuSR,,,,,51.8336,5.8857,anonymous,EN,Yes,104,Somewhat disagree,Somewhat agree,Strongly agree,"Password strength,Spotting phishing emails",Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,"Build a password,Build a passphrase,Escape the cookie trap",
2026-05-20 23:32:56,2026-05-20 23:35:24,IP Address,88.159.3.128,100,147,True,2026-05-20 23:35:24,R_2OIrPaeLtmVislx,,,,,52.3179,4.9521,anonymous,EN,Yes,304,Somewhat agree,Somewhat agree,Strongly agree,"Rejecting tracking cookies,Spotting phishing emails",Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,None of these,
2026-05-21 06:32:58,2026-05-21 06:36:34,IP Address,94.157.32.141,100,215,True,2026-05-21 06:36:34,R_21apSUGbCKp0P7U,,,,,51.9439,5.8939,anonymous,EN,Yes,103,Somewhat agree,Somewhat agree,Strongly agree,"Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,"Escape the cookie trap,Phishing or legit",
2026-05-21 07:54:53,2026-05-21 08:00:03,IP Address,77.249.88.198,100,310,True,2026-05-21 08:00:04,R_8H2zGSwvTjsbbJT,,,,,51.8421,5.8593,anonymous,EN,Yes,404,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Escape the cookie trap,
2026-05-21 08:43:56,2026-05-21 08:45:49,IP Address,77.169.250.169,100,112,True,2026-05-21 08:45:49,R_2H1QW2D02LgY4l3,,,,,51.8486,5.8508,anonymous,EN,Yes,405,Neither agree nor disagree,Somewhat agree,Strongly agree,Password strength,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Escape the cookie trap,
2026-05-21 09:25:11,2026-05-21 09:30:39,IP Address,77.169.250.169,100,328,True,2026-05-21 09:30:40,R_21Nmttg4EjUVoVb,,,,,51.8486,5.8508,anonymous,EN,Yes,401,Somewhat disagree,Strongly agree,Strongly agree,"Rejecting tracking cookies,Spotting phishing emails",Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Escape the cookie trap,GDPR multiple choice",
2026-05-21 09:47:53,2026-05-21 09:54:28,IP Address,145.137.150.2,100,394,True,2026-05-21 09:54:29,R_8uDfsC5rshQEgwN,,,,,51.8385,5.8731,anonymous,EN,Yes,102,Somewhat disagree,Somewhat agree,Somewhat agree,Password strength,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Escape the cookie trap,Phishing or legit,GDPR multiple choice",
2026-05-21 10:19:01,2026-05-21 10:26:44,IP Address,64.238.204.87,100,463,True,2026-05-21 10:26:45,R_2TuZhsEbnGyO7je,,,,,52.3716,4.8883,anonymous,EN,Yes,300,Strongly agree,Neither agree nor disagree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap,Phishing or legit",
2026-05-21 10:39:36,2026-05-21 10:42:51,IP Address,145.116.179.134,100,195,True,2026-05-21 10:42:52,R_8y2yPACFFWvFKrZ,,,,,51.8206,5.8715,anonymous,EN,Yes,403,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Spotting phishing emails",Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Build a password,Build a passphrase,Escape the cookie trap",
2026-05-21 18:30:20,2026-05-21 18:49:56,IP Address,62.45.221.226,100,1175,True,2026-05-21 18:49:57,R_2ahFy1JnR9jfH2m,,,,,52.0231,5.0448,anonymous,EN,Yes,301,Somewhat disagree,Strongly agree,Strongly agree,"Password strength,Building and using a passphrase,Rejecting tracking cookies",Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Escape the cookie trap,Phishing or legit","Ja, ik had ook verwacht dat er aandacht zou zijn voor informatie over het bewaren van wachtwoorden (een zgn kluis oid), en het gebruiken van een cloud voor bestanden met persoonlijke informatie."
2026-05-21 21:41:58,2026-05-21 21:46:05,IP Address,95.42.78.153,100,247,True,2026-05-21 21:46:05,R_8QkqYf0xBYcEQsV,,,,,42.6826,23.3223,anonymous,EN,Yes,101,Somewhat disagree,Strongly agree,Strongly agree,"Password strength,Rejecting tracking cookies",Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Escape the cookie trap,Phishing or legit",BANGARANGA
2026-05-22 09:34:13,2026-05-22 09:36:40,IP Address,83.85.213.25,100,146,True,2026-05-22 09:36:42,R_2NeuaQyMIurlVKd,,,,,52.0134,4.3655,anonymous,EN,Yes,406,Somewhat agree,Strongly agree,Strongly agree,"Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Escape the cookie trap,
2026-05-22 17:50:25,2026-05-22 17:52:38,IP Address,143.58.186.248,100,132,True,2026-05-22 17:52:39,R_81Z3zLTSbKjxDff,,,,,51.5267,0.0153,anonymous,EN,Yes,313,Somewhat agree,Strongly agree,Strongly agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails,Basic information about the GDPR (General Data Protection Regulation)",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Spot the weakest password,Escape the cookie trap,Phishing or legit",
2026-05-23 08:51:47,2026-05-23 08:54:03,IP Address,87.195.26.145,100,135,True,2026-05-23 08:54:03,R_24A60WM0CPZkrsd,,,,,52.4763,6.0169,anonymous,EN,Yes,205,Somewhat agree,Somewhat agree,Somewhat agree,"Password strength,Rejecting tracking cookies,Spotting phishing emails",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Phishing or legit,
